parametre,nom_m,polluant,coefficiens,p-valeurs
var_pression_3h_Pa,AUXERRE,NO2,0.0,
direction_vent_moyen_10mn_deg,AUXERRE,NO2,0.0,
vitesse_vent_moyen_10mn_m/s,AUXERRE,NO2,0.0,
temperature_K,AUXERRE,NO2,0.0,
humidite_%,AUXERRE,NO2,0.0,
visibilite_horizontale_m,AUXERRE,NO2,0.0,
precipitations_24h_mm,AUXERRE,NO2,0.0,
ar.L1,AUXERRE,NO2,0.0,
ma.L1,AUXERRE,NO2,0.0,
ar.S.L12,AUXERRE,NO2,0.0,
ma.S.L12,AUXERRE,NO2,0.0,
ma.S.L24,AUXERRE,NO2,0.0,
sigma2,AUXERRE,NO2,1.0,0.0
const,AVIGNON,NO2,-801.369274594617,0.0
pression_niveau_mer_Pa,AVIGNON,NO2,0.009286665345304573,0.0009836037401011167
var_pression_3h_Pa,AVIGNON,NO2,0.009517277345827482,0.9543633656794255
direction_vent_moyen_10mn_deg,AVIGNON,NO2,0.0504166034715084,0.644192401456575
vitesse_vent_moyen_10mn_m/s,AVIGNON,NO2,-6.487777377883141,0.3050562541652798
temperature_K,AVIGNON,NO2,-0.32418890990776245,0.6743019322875617
humidite_%,AVIGNON,NO2,0.03980408115750688,0.9560864690048323
visibilite_horizontale_m,AVIGNON,NO2,-0.0005248928858035227,0.7113559709933073
precipitations_24h_mm,AVIGNON,NO2,-0.24344545569847423,0.8304083377392951
ar.L1,AVIGNON,NO2,0.3400406462232252,0.8826818526170882
ma.L1,AVIGNON,NO2,0.0656308747630125,0.9740663989466267
ar.S.L12,AVIGNON,NO2,7.231264607084061e-07,0.999999156203524
ma.S.L12,AVIGNON,NO2,1.9863479734772818e-07,0.9999998721283794
ma.S.L24,AVIGNON,NO2,-2.5663722882266275e-12,0.9999999984573117
sigma2,AVIGNON,NO2,22.27032065347195,0.14290287458588324
const,AYTRE,NO2,-156.89115913926526,0.0
pression_niveau_mer_Pa,AYTRE,NO2,0.003505084813985204,0.026921926667674408
var_pression_3h_Pa,AYTRE,NO2,0.02306673579230541,0.77581503875845
direction_vent_moyen_10mn_deg,AYTRE,NO2,-0.030209659494912985,0.5742844003135659
vitesse_vent_moyen_10mn_m/s,AYTRE,NO2,0.23395181831867948,0.9051179031036272
temperature_K,AYTRE,NO2,-0.5433328526489793,0.33205461062716835
humidite_%,AYTRE,NO2,-0.14456815292305342,0.6681606192873562
visibilite_horizontale_m,AYTRE,NO2,-0.000702345987302672,0.5073483609842646
precipitations_24h_mm,AYTRE,NO2,0.46902801280853335,0.8197187692680968
ar.L1,AYTRE,NO2,0.4594789235933485,0.7115344743819247
ma.L1,AYTRE,NO2,-0.015569866406572454,0.989275091915744
ar.S.L12,AYTRE,NO2,3.7551772825374866e-10,0.9999999996643613
ma.S.L12,AYTRE,NO2,1.922533067247136e-10,0.9999999998534371
ma.S.L24,AYTRE,NO2,3.5021691405133177e-15,0.9999999999977606
sigma2,AYTRE,NO2,14.768301881956933,0.23225138285216007
const,BAIE-MAHAULT,NO2,648.151497060403,0.0
pression_niveau_mer_Pa,BAIE-MAHAULT,NO2,0.0020840148620250216,0.408256924382409
var_pression_3h_Pa,BAIE-MAHAULT,NO2,-0.029497407016422044,0.75522125253349
direction_vent_moyen_10mn_deg,BAIE-MAHAULT,NO2,0.009299142048855819,0.920674649017934
vitesse_vent_moyen_10mn_m/s,BAIE-MAHAULT,NO2,-1.1781833581438768,0.7977550194913859
temperature_K,BAIE-MAHAULT,NO2,-2.9702569871047495,0.005969153967097508
humidite_%,BAIE-MAHAULT,NO2,0.5716380385942122,0.6542591048969523
visibilite_horizontale_m,BAIE-MAHAULT,NO2,0.0001307843748420883,0.7673654146984461
precipitations_24h_mm,BAIE-MAHAULT,NO2,-0.43201224543774686,0.5197306996288626
ar.L1,BAIE-MAHAULT,NO2,1.5052374336021412,0.02983443256226412
ma.L1,BAIE-MAHAULT,NO2,-1.4899486713228451,0.13301826501427458
ar.S.L12,BAIE-MAHAULT,NO2,2.642715233733707e-08,0.9999999763970033
ma.S.L12,BAIE-MAHAULT,NO2,3.713662451524857e-09,0.9999999982053094
ma.S.L24,BAIE-MAHAULT,NO2,2.1530550923809204e-13,0.999999999390703
sigma2,BAIE-MAHAULT,NO2,3.722999805997706,0.4776614996553662
const,BAR-LE-DUC,NO2,-126.31103866821138,0.0
pression_niveau_mer_Pa,BAR-LE-DUC,NO2,0.0042441055267549615,0.0
var_pression_3h_Pa,BAR-LE-DUC,NO2,-0.12248695762249545,0.0
direction_vent_moyen_10mn_deg,BAR-LE-DUC,NO2,-0.22859685599092722,0.0
vitesse_vent_moyen_10mn_m/s,BAR-LE-DUC,NO2,6.257781680057985,0.0
temperature_K,BAR-LE-DUC,NO2,-0.8772411595204144,0.0
humidite_%,BAR-LE-DUC,NO2,-0.13699249112447576,0.0
visibilite_horizontale_m,BAR-LE-DUC,NO2,0.00035440335114555116,0.0
precipitations_24h_mm,BAR-LE-DUC,NO2,-4.323911049954431,0.0
ar.L1,BAR-LE-DUC,NO2,0.6196470459950094,0.0
ma.L1,BAR-LE-DUC,NO2,-1.1887645481374307,0.0
ar.S.L12,BAR-LE-DUC,NO2,0.0,
ma.S.L12,BAR-LE-DUC,NO2,0.0,
ma.S.L24,BAR-LE-DUC,NO2,0.0,
sigma2,BAR-LE-DUC,NO2,2.8726209431530227,0.0
const,BASSE-TERRE,NO2,915.6811429659729,0.0
pression_niveau_mer_Pa,BASSE-TERRE,NO2,0.010913641594501656,0.7258577558785555
var_pression_3h_Pa,BASSE-TERRE,NO2,0.0064271516915396275,0.9953345060475097
direction_vent_moyen_10mn_deg,BASSE-TERRE,NO2,0.013275831811328924,0.982806597829922
vitesse_vent_moyen_10mn_m/s,BASSE-TERRE,NO2,4.849261211113241,0.9142475168942163
temperature_K,BASSE-TERRE,NO2,-6.881636310573922,0.46326140452514086
humidite_%,BASSE-TERRE,NO2,0.25134275807420936,0.9773831242241956
visibilite_horizontale_m,BASSE-TERRE,NO2,0.0008708660781302092,0.8815816582459577
precipitations_24h_mm,BASSE-TERRE,NO2,-0.07681727912575455,0.9928193463830451
ar.L1,BASSE-TERRE,NO2,0.7286191896244998,0.718543176389551
ma.L1,BASSE-TERRE,NO2,-0.040425648627231435,0.9908164611810895
ar.S.L12,BASSE-TERRE,NO2,0.0693260070321932,0.9813932730792294
